Crossover-b	Crossover-a	Hungry-b	Hungry-a	LocalBranching-b	LocalBranching-a	Mutation-b	Mutation-a	RandomRemove-b	RandomRemove-a	RemoveWorst-b	RemoveWorst-a
0.48818181818181816	0.48818181818181816	0.490909090909091	0.49454545454545457	0.48636363636363644	0.4981818181818182	0.49363636363636376	0.4981818181818183	0.48000000000000004	0.48000000000000004	0.4818181818181818	0.4818181818181818
0.47636363636363643	0.47636363636363643	0.47090909090909094	0.4972727272727273	0.48545454545454547	0.49454545454545457	0.47818181818181826	0.4790909090909092	0.4727272727272727	0.4727272727272727	0.4772727272727273	0.4772727272727273
0.4736363636363637	0.4736363636363637	0.4727272727272728	0.48000000000000004	0.4981818181818183	0.4981818181818183	0.47636363636363643	0.48727272727272736	0.4827272727272728	0.4827272727272728	0.4872727272727272	0.4872727272727272
0.4790909090909091	0.4790909090909091	0.48818181818181816	0.49363636363636376	0.48818181818181816	0.4981818181818182	0.4981818181818183	0.4981818181818183	0.4818181818181818	0.4818181818181818	0.4690909090909091	0.4690909090909091
0.4854545454545455	0.4854545454545455	0.46909090909090906	0.48636363636363633	0.4972727272727273	0.4972727272727273	0.4790909090909092	0.48090909090909095	0.49363636363636376	0.49363636363636376	0.47363636363636363	0.47363636363636363
0.4781818181818182	0.4781818181818182	0.47272727272727283	0.48727272727272736	0.49363636363636376	0.49363636363636376	0.4881818181818182	0.4881818181818182	0.49363636363636376	0.49363636363636376	0.4736363636363637	0.4736363636363637
0.49272727272727274	0.49272727272727274	0.48636363636363633	0.4981818181818182	0.4772727272727273	0.4790909090909092	0.4927272727272727	0.4972727272727273	0.47454545454545455	0.47454545454545455	0.47454545454545455	0.47454545454545455
0.48727272727272725	0.48727272727272736	0.48363636363636375	0.49363636363636376	0.4836363636363637	0.4836363636363637	0.4818181818181819	0.4981818181818183	0.47727272727272724	0.47727272727272724	0.48090909090909095	0.48090909090909095
0.4836363636363637	0.4836363636363637	0.48	0.4881818181818182	0.49363636363636365	0.4981818181818182	0.46545454545454557	0.4863636363636365	0.4690909090909091	0.4690909090909091	0.4818181818181818	0.4818181818181818
0.49000000000000005	0.49000000000000005	0.48818181818181816	0.48818181818181816	0.49000000000000005	0.49454545454545457	0.490909090909091	0.4981818181818183	0.4854545454545455	0.4854545454545455	0.4863636363636364	0.4863636363636364
0.4799999999999999	0.4799999999999999	0.4890909090909092	0.4890909090909092	0.47454545454545466	0.490909090909091	0.49000000000000016	0.4981818181818183	0.4890909090909092	0.4890909090909092	0.4781818181818182	0.4781818181818182
0.47181818181818186	0.4754545454545455	0.4972727272727273	0.4972727272727273	0.4790909090909091	0.4809090909090909	0.4827272727272727	0.4972727272727273	0.48818181818181833	0.48818181818181833	0.4981818181818183	0.4981818181818183
0.48363636363636364	0.48363636363636364	0.47363636363636363	0.4809090909090909	0.49000000000000005	0.49454545454545457	0.49363636363636376	0.4981818181818182	0.490909090909091	0.490909090909091	0.4781818181818182	0.4781818181818182
0.4809090909090909	0.4809090909090909	0.4763636363636364	0.48454545454545467	0.47545454545454546	0.4981818181818182	0.4772727272727274	0.4981818181818183	0.48363636363636375	0.48363636363636375	0.49454545454545457	0.49454545454545457
0.4763636363636364	0.4763636363636364	0.49363636363636376	0.49363636363636376	0.49363636363636365	0.4981818181818182	0.4827272727272727	0.490909090909091	0.4790909090909092	0.4790909090909092	0.4690909090909092	0.4690909090909092
0.47000000000000003	0.47000000000000003	0.4827272727272728	0.48727272727272736	0.48090909090909095	0.4981818181818183	0.47090909090909094	0.4972727272727273	0.4881818181818182	0.4881818181818182	0.4836363636363637	0.4836363636363637
0.4700000000000001	0.4700000000000001	0.48	0.4845454545454546	0.46818181818181825	0.49272727272727274	0.48454545454545456	0.4981818181818182	0.4836363636363637	0.4836363636363637	0.48545454545454547	0.48545454545454547
0.4845454545454546	0.4845454545454546	0.4763636363636363	0.48181818181818187	0.48	0.4827272727272727	0.4836363636363637	0.4972727272727273	0.47727272727272735	0.47727272727272735	0.49000000000000005	0.49000000000000005
0.4736363636363637	0.4736363636363637	0.47818181818181826	0.47909090909090907	0.47545454545454546	0.4981818181818182	0.49363636363636376	0.49636363636363645	0.4881818181818182	0.4881818181818182	0.48181818181818187	0.48181818181818187
0.4781818181818182	0.4781818181818182	0.4672727272727273	0.4781818181818183	0.47272727272727283	0.4790909090909092	0.4927272727272728	0.4927272727272728	0.4754545454545455	0.4754545454545455	0.4781818181818182	0.4781818181818182
0.48636363636363633	0.48636363636363633	0.4772727272727273	0.48727272727272736	0.4972727272727273	0.4972727272727273	0.490909090909091	0.49363636363636376	0.47454545454545466	0.47454545454545466	0.4781818181818182	0.4781818181818182
0.49181818181818193	0.49181818181818193	0.47181818181818186	0.48181818181818187	0.48000000000000004	0.4981818181818183	0.4790909090909091	0.48727272727272736	0.47090909090909105	0.47090909090909105	0.48818181818181816	0.48818181818181816
0.4836363636363637	0.4836363636363637	0.49363636363636376	0.49363636363636376	0.48181818181818187	0.4881818181818182	0.48090909090909095	0.4881818181818182	0.48727272727272725	0.48727272727272725	0.4745454545454546	0.4745454545454546
0.48363636363636375	0.48363636363636375	0.4981818181818183	0.4981818181818183	0.48727272727272736	0.49090909090909096	0.4836363636363637	0.49181818181818193	0.49454545454545457	0.49454545454545457	0.4872727272727272	0.4872727272727272
0.4827272727272728	0.4827272727272728	0.4718181818181818	0.48727272727272725	0.4836363636363637	0.4836363636363637	0.4800000000000001	0.48454545454545456	0.4818181818181818	0.4818181818181818	0.4727272727272729	0.4727272727272729
0.47090909090909105	0.47090909090909105	0.4790909090909091	0.48909090909090913	0.4818181818181818	0.4818181818181818	0.4927272727272728	0.4927272727272728	0.4763636363636363	0.4763636363636363	0.480909090909091	0.480909090909091
0.4845454545454546	0.4845454545454546	0.48909090909090913	0.48909090909090913	0.49363636363636365	0.4981818181818183	0.48727272727272736	0.49454545454545457	0.4763636363636364	0.4763636363636364	0.47545454545454546	0.47545454545454546
0.4927272727272728	0.4927272727272728	0.4754545454545456	0.4872727272727274	0.4881818181818182	0.4881818181818182	0.4727272727272728	0.4981818181818182	0.4890909090909092	0.4890909090909092	0.4772727272727273	0.4772727272727273
0.4763636363636364	0.4763636363636364	0.48000000000000004	0.48909090909090913	0.48818181818181816	0.48818181818181816	0.4845454545454546	0.49363636363636376	0.4672727272727273	0.4672727272727273	0.4790909090909091	0.4790909090909091
0.4745454545454546	0.4745454545454546	0.48636363636363644	0.4981818181818183	0.4672727272727273	0.4836363636363637	0.47545454545454546	0.49454545454545457	0.47363636363636363	0.47363636363636363	0.4772727272727273	0.4772727272727273
0.47636363636363643	0.47636363636363643	0.48727272727272725	0.48727272727272725	0.470909090909091	0.47272727272727283	0.47454545454545466	0.4981818181818183	0.4818181818181818	0.4818181818181818	0.4763636363636364	0.4763636363636364
0.4736363636363637	0.4736363636363637	0.4790909090909092	0.4972727272727274	0.4663636363636365	0.4663636363636365	0.4763636363636363	0.4881818181818182	0.47727272727272735	0.47727272727272735	0.4981818181818182	0.4981818181818182
0.4745454545454546	0.4745454545454546	0.4727272727272727	0.4727272727272727	0.48909090909090913	0.4981818181818183	0.4763636363636364	0.48727272727272736	0.4790909090909092	0.4790909090909092	0.4781818181818182	0.4781818181818182
0.47363636363636374	0.47363636363636374	0.4781818181818182	0.4790909090909091	0.48545454545454547	0.4972727272727273	0.49000000000000005	0.49454545454545457	0.49454545454545457	0.49454545454545457	0.48727272727272736	0.48727272727272736
0.4963636363636364	0.4963636363636364	0.49090909090909096	0.49090909090909096	0.4790909090909092	0.4981818181818183	0.4818181818181818	0.4818181818181818	0.47363636363636374	0.47363636363636374	0.4818181818181818	0.4818181818181818
